batch_index,metric,tau,area,comp,suff
1,mae,23,0.075,23.686714,19.955009
1,mae,23,0.1,25.82555,18.912376
1,mae,23,0.15,27.381742,18.777744
1,mse,23,0.05,29.395315,23.980701
1,mse,23,0.075,35.93391,25.034126
1,mse,23,0.1,41.237358,23.643785
1,mse,23,0.15,45.819778,23.656452
2,mae,0,0.05,10.332869,20.547934
2,mae,0,0.075,12.944454,20.701576
2,mae,0,0.1,14.491567,20.737366
2,mae,0,0.15,16.242523,21.20882
2,mse,0,0.05,7.74212,29.879852
2,mse,0,0.075,11.413898,30.140381
2,mse,0,0.1,14.035208,30.279749
2,mse,0,0.15,16.888657,31.080994
2,mae,1,0.05,11.196854,20.754236
2,mae,1,0.075,14.029779,20.511738
2,mae,1,0.1,15.310661,21.477512
2,mae,1,0.15,17.558018,21.987785
2,mse,1,0.05,8.682567,31.0459
2,mse,1,0.075,13.166991,30.013454
2,mse,1,0.1,15.225061,32.350487
2,mse,1,0.15,19.345591,33.899475
2,mae,2,0.05,11.550838,21.287666
2,mae,2,0.075,14.953573,21.668438
2,mae,2,0.1,16.107351,22.750118
2,mae,2,0.15,18.553528,22.650389
2,mse,2,0.05,9.103569,32.245987
2,mse,2,0.075,14.270443,32.619709
2,mse,2,0.1,16.573725,36.124733
2,mse,2,0.15,21.973835,35.778854
2,mae,3,0.05,12.812166,22.160952
2,mae,3,0.075,16.108494,22.53035
2,mae,3,0.1,17.564777,23.203138
2,mae,3,0.15,19.611069,23.834587
2,mse,3,0.05,11.085886,33.415878
2,mse,3,0.075,16.307451,34.983967
2,mse,3,0.1,19.206028,36.640343
2,mse,3,0.15,23.881092,38.743038
2,mae,4,0.05,13.367471,21.860119
2,mae,4,0.075,17.270998,22.416733
2,mae,4,0.1,18.458935,23.13242
2,mae,4,0.15,21.468975,23.198183
2,mse,4,0.05,11.622425,32.81897
2,mse,4,0.075,18.329107,34.501015
2,mse,4,0.1,20.999178,36.288982
2,mse,4,0.15,28.107609,36.48315
2,mae,5,0.05,14.08366,22.036901
2,mae,5,0.075,16.946619,22.637726
2,mae,5,0.1,19.016911,23.427935
2,mae,5,0.15,21.834526,23.248091
2,mse,5,0.05,12.857541,34.226494
2,mse,5,0.075,18.037252,35.619247
2,mse,5,0.1,22.318922,36.866211
2,mse,5,0.15,28.839914,35.950226
2,mae,6,0.05,13.385281,21.851963
2,mae,6,0.075,17.015541,22.301935
2,mae,6,0.1,18.902231,23.503786
2,mae,6,0.15,21.954632,24.534897
2,mse,6,0.05,11.894641,32.908211
2,mse,6,0.075,18.647884,34.099995
2,mse,6,0.1,22.2334,36.71032
2,mse,6,0.15,29.343288,38.333977
2,mae,7,0.05,13.874894,22.254999
2,mae,7,0.075,16.544643,22.984943
2,mae,7,0.1,18.732113,23.445919
2,mae,7,0.15,20.538219,24.412609
2,mse,7,0.05,12.790182,34.035423
2,mse,7,0.075,17.423988,35.727707
2,mse,7,0.1,21.597404,37.069641
2,mse,7,0.15,25.932238,38.715302
2,mae,8,0.05,13.678578,22.536667
2,mae,8,0.075,17.521544,23.183737
2,mae,8,0.1,18.693085,23.811634
2,mae,8,0.15,20.568825,24.4771
2,mse,8,0.05,12.894535,34.74987
2,mse,8,0.075,19.674397,35.913563
2,mse,8,0.1,22.003428,37.555927
2,mse,8,0.15,26.129707,38.460823
2,mae,9,0.05,13.141494,22.60532
2,mae,9,0.075,17.56493,23.713833
2,mae,9,0.1,19.137035,24.033525
2,mae,9,0.15,21.707085,23.80592
2,mse,9,0.05,11.498154,35.193813
2,mse,9,0.075,19.489407,37.555458
2,mse,9,0.1,22.752193,38.213768
2,mse,9,0.15,28.895847,36.730717
2,mae,10,0.05,12.724377,21.789127
2,mae,10,0.075,16.832401,22.469469
2,mae,10,0.1,18.739235,23.025772
2,mae,10,0.15,20.558544,23.072571
2,mse,10,0.05,10.777884,33.162376
2,mse,10,0.075,18.206406,34.569103
2,mse,10,0.1,22.526382,34.937382
2,mse,10,0.15,26.888653,34.530678
2,mae,11,0.05,12.414714,20.927973
2,mae,11,0.075,15.837963,21.559814
2,mae,11,0.1,17.543503,22.317753
2,mae,11,0.15,20.899204,22.968655
2,mse,11,0.05,10.62339,30.357658
2,mse,11,0.075,16.661892,31.816437
2,mse,11,0.1,20.217335,33.943008
2,mse,11,0.15,28.467201,34.554783
2,mae,12,0.05,11.534483,20.641397
